BCH	23.282800	76.334600
BCHL	18.703600	81.238700
BCHT	25.452674	85.688903
BCJ	24.811600	84.204800
BCK	22.357700	87.552900
BCN	26.476800	81.105000
BCOB	23.301191	70.344772
BCP	27.176500	77.914400
BCPR	26.490222	85.665053
BCQ	23.707000	86.928400
BCRD	21.951900	78.312000
BCU	30.210212	75.095516
BCW	26.227681	73.613548
BCY	25.334228	83.014224
BCYN	25.497072	85.328402
BD	20.857163	77.732690
BDAG	24.823000	87.810100
BDB	27.576042	77.693510
BDBA	20.276851	86.520081
BDBG	30.459994	74.460268
BDBP	24.639216	87.959461
BDBS	24.792968	87.859383
BDC	22.923577	88.379282
BDCR	17.550300	80.616000
BDDR	21.361300	70.296100
BDE	22.269931	73.716320
BDGM	34.015500	74.785100
BDGP	11.990100	76.861000
BDGU	15.395661	76.297296
BDH	23.586700	87.711800
BDHA	21.269800	71.336900
BDHL	27.252000	75.451600
BDHN	18.646113	77.888346
BDHP	29.270200	77.292200
BDHT	21.621200	78.822400
BDHY	32.440800	75.433300
BDI	21.022200	75.672900
BDIH	23.671726	86.255379
BDIN	26.170229	82.170353
BDJ	11.593400	75.587000
BDKD	21.836283	78.918631
BDKN	26.272100	81.995600
BDKT	20.365429	86.083816
BDL	25.160600	82.501900
BDLC	24.822107	87.798271
BDLN	27.422900	94.432640
BDM	15.959100	75.676900
BDMA	25.902468	86.856709
BDME	24.489200	86.692000
BDMJ	29.185100	77.008200
BDN	26.979400	78.737500
BDNK	10.020751	77.346754
BDNP	25.585300	81.442300
BDO	22.440700	86.163900
BDPA	21.710200	87.615900
BDPG	20.570278	85.873518
BDPK	20.852957	85.255623
BDPL	16.365100	80.362400
BDPR	23.313100	87.293300
BDRI	26.894154	78.482157
BDRL	12.502280	76.753106
BDS	26.801856	88.740349
BDSW	29.832156	74.222260
BDT	27.399051	95.314465
BDTS	19.062341	72.840965
BDU	19.874419	75.722923
BDUA	25.647407	85.545216
BDVL	17.309800	78.424900
BDVR	18.175300	83.112700
BDVT	13.842399	75.702802
BDW	26.125311	74.691389
BDWA	23.294300	81.286700
BDWD	20.903763	76.017226
BDWL	29.152311	73.887348
BDWS	24.983510	77.561998
BDXT	28.464400	76.982900
BDXX	19.011164	81.837587
BDY	12.045000	78.313100
BDYK	26.924404	75.659752
BDYP	22.425152	88.452902
BDYR	26.277900	89.765703
BDZ	23.304500	88.526400
BE	28.337134	79.410824
BEA	25.558700	84.448800
BEAS	31.519800	75.291200
BEB	23.932300	88.243200
BEC	24.896402	74.615192
BECN	27.972875	73.369274
BED	26.747412	77.543435
BEDM	27.453979	77.209511
BEE	26.310035	92.640806
BEF	21.975200	83.260200
BEG	27.530600	80.055000
BEH	21.951100	84.186400
BEHI	14.787451	76.119087
BEHJ	27.481400	77.396100
BEHR	24.000449	81.379895
BEHS	25.206500	85.539400
BEHT	25.451180	86.028957
BEJ	27.300000	80.440700
BEK	29.522700	78.393400
BELA	24.978900	84.981800
BELD	22.982101	79.300089
BELT	25.038291	86.998502
BEM	28.027712	79.136244
BEML	12.978600	78.241900
BENA	23.247994	91.484501
BENL	16.384200	75.882100
BEO	25.174000	82.449900
BEP	25.265000	81.989200
BEPR	19.018711	73.038676
BEQ	22.636300	88.339900
BER	26.108508	74.314571
BERO	23.548251	86.726589
BES	23.905641	85.324254
BET	23.915107	77.999840
BETA	0.000000	0.000000
BEU	27.340900	81.833400
BEW	21.149600	74.886500
BEX	23.277300	87.153800
BEY	15.486272	78.195362
BFD	27.163793	95.277042
BFE	30.147205	74.279251
BFF	20.863400	80.061300
BFG	26.796412	77.522369
BFJ	20.537971	75.013962
BFM	25.085500	86.166800
BFP	27.202179	77.986729
BFPA	28.452000	79.812200
BFQ	23.763300	84.416700
BFR	12.385904	75.043166
BFT	23.986900	88.241500
BFV	28.046834	80.512447
BFW	13.002200	77.988700
BFX	25.052000	85.684100
BFY	25.824010	73.717720
BFZ	23.432852	88.329477
BG	17.525000	78.898800
BGA	23.447026	86.519136
BGAE	23.122000	88.453000
BGAN	27.239000	81.905900
BGAR	26.537800	84.921000
BGBR	21.046000	82.383900
BGD	29.697400	75.001400
BGDI	20.278803	86.586093
BGDS	25.826700	85.845700
BGF	23.160300	88.122200
BGH	27.227900	80.296100
BGHI	24.555633	81.018393
BGHT	26.147710	84.639721
BGHU	18.275300	83.039900
BGJT	22.482200	88.387000
BGK	16.178900	75.700300
BGKA	22.276900	84.973500
BGKT	26.248087	73.012927
BGL	23.335045	88.645984
BGLI	27.287816	95.703878
BGM	15.849203	74.509524
BGMR	21.149500	72.995900
BGMU	26.891700	80.221900
BGN	20.728839	77.179430
BGNA	23.457900	87.950100
BGND	27.394326	94.171028
BGNP	15.322441	78.250540
BGNR	12.968543	76.733234
BGO	22.882000	87.326000
BGP	25.242229	86.977112
BGPA	13.119939	76.217823
BGPL	21.042089	86.013036
BGPR	25.419052	73.363352
BGQ	27.258800	79.165500
BGRA	23.241600	88.329200
BGRD	22.674768	88.607225
BGRM	28.047792	74.201647
BGRR	29.079126	78.278103
